,tenor_1,tenor_2,tenor_3,tenor_4,tenor_5,tenor_6,tenor_7,tenor_8
2020-07-29,59.28082247416233,57.807213333547246,59.31719771784421,60.44462731345998,61.98600402633744,61.26288413469026,61.399068235257054,64.62339665583065
2020-07-30,59.73701657453951,60.95986837533183,59.4987357008598,62.148000328874446,64.01929661335335,62.22949834023716,62.26378738543392,64.20842744852983
2020-07-31,58.31491504021789,59.20855870805337,58.93330644073514,61.67493993242685,60.447828679039006,60.52308415261549,64.61477129736517,61.6245512327812
2020-08-03,58.18425808544518,60.8772247752954,59.33119715301704,59.67061040473898,61.36658436098163,62.11544990152814,63.60172330159104,65.40531034769634
2020-08-04,56.11885942333305,58.41708624930688,58.076434147242765,59.80944226891122,59.778793906187694,62.32346887473189,62.2110313589674,64.00849806405562
2020-08-05,55.51912933113511,56.11753999496904,57.76288652695269,58.42430360438407,59.136231580992025,60.12613673295994,62.87742112108168,62.50345936514786
2020-08-06,55.96805825369137,56.76398590483378,56.167978863244215,57.86608902942693,60.387263417920806,60.37164165122276,63.687499351072674,64.98643439792194
2020-08-07,55.11833990925385,56.65595548688584,56.2487804193233,58.60019201425495,59.01966835940681,62.84163832022992,64.41665218438526,63.536559030922845
2020-08-10,53.24289584171626,54.77998868323972,54.73809581719623,56.43190726622588,59.14888587053149,59.713690612658766,61.6342506034136,61.76728550225417
2020-08-11,51.3554755522046,53.40137797553148,54.69802258709416,56.12708545296709,59.03935978593993,58.50274742340835,59.84594626189515,62.26426178965479
2020-08-12,51.90044610569216,53.385194009520106,53.36666905006999,56.97477459395167,59.21177859770627,58.85337025910811,62.08767968502851,60.840644893800444
2020-08-13,52.27204048107964,53.32852171037702,54.17995657663501,55.91250443084258,55.32111621730185,58.355439237991234,60.1741432232892,61.05668955818797
2020-08-14,52.2260881680461,53.0170299636432,53.74283649108217,55.90568664521405,57.87294873600956,60.84149154541441,61.13047986211072,62.67585362110268
2020-08-17,53.58140874943699,54.9795580749848,55.90514485117401,55.51187231883858,60.03242354874571,61.70124085804635,61.03943707091088,62.31889299584548
2020-08-18,51.91333091013391,52.801750935145066,54.33987831205888,55.204539863022525,57.435294641945454,61.0756284733781,60.67215814558126,64.72146911530528
2020-08-19,51.42946577706218,51.38139401164822,53.82315639014404,55.90517793444433,57.525174757875,59.56167933167216,61.96085952284888,63.87079434203397
2020-08-20,52.18513717727644,52.882938165020505,52.81399832016266,55.72062277426964,60.24025491121285,59.88272836823899,63.84406810136619,64.50500733230294
2020-08-21,51.81451410917082,52.91941001168395,53.67763991363815,54.82159816467879,57.77432996604527,60.17988477546191,60.41620288807991,63.01822284380639
2020-08-24,51.0096379241459,51.17455470089073,52.42246775551418,54.45657257585047,56.350522205201536,57.28451407475265,59.499989730296775,63.71468350248929
2020-08-25,51.218029191833445,52.82000639907844,53.375876438043925,56.78060938367968,58.69298414480241,59.7209501196318,61.19886087272718,62.0125352755236
2020-08-26,50.75557663254386,53.53814321038495,52.89444926579249,56.07021226357509,58.13254000106237,58.10592342823263,61.60993883217027,62.87410068625863
2020-08-27,53.33846830417596,53.09798328244442,53.46796623051576,56.031993704566055,58.15173636453756,59.27503649927765,60.64109628466677,60.108360805371554
2020-08-28,52.512197691687184,54.37181223312899,54.37055623102491,56.62370859460336,58.22401734127978,59.34021528945165,61.80079087246349,62.66921985752198
2020-08-31,52.6473847908304,53.29869829431188,54.44884672708355,56.87231568722674,57.92742460362531,59.650247462626574,61.61991321013779,63.55805392190287
2020-09-01,55.893540520888806,55.92513417095212,55.69792231200558,57.83940778946108,59.3066949802699,58.577045297661066,63.2123061928596,63.09107811220412
2020-09-02,56.42550300413424,57.694104271887966,57.013374060453415,59.22946356446516,59.76899204595064,60.54367092941284,61.25438114894658,65.39853796145846
2020-09-03,55.13398386609821,56.54746533465907,55.62044801835969,59.33875432064855,60.59247786681109,60.80393669916506,62.015392907710655,64.02584544562347
2020-09-04,55.59460741915084,54.07472038531878,56.35340465459195,57.00943806501465,58.99901981373202,59.85566898067632,61.24657881463407,62.98377466004077
2020-09-07,53.99114703971453,56.018064723402354,54.95640117578826,58.11795787407623,58.70476397320676,58.90941787628386,61.703569887874615,60.80237149304595
2020-09-08,54.78779663372413,54.65804321115661,56.4591466056112,57.10426505773922,58.60956834712736,60.19794680583662,60.60956947614654,62.58642186937514
2020-09-09,53.75202351673529,55.70052552682358,57.07854358584119,59.53969856281272,58.73381963487168,60.29638721745063,59.17610655404244,64.15013762370178
2020-09-10,53.93081136569437,54.06841368208119,55.88876270555335,56.79134752062065,57.99631232045896,59.877804879960806,59.98277035397954,63.69661750031439
2020-09-11,52.96080349263203,53.80129951064612,54.631324486814776,57.62533080052384,58.000332658548274,58.407694960763216,60.63281141333548,62.54953958508039
2020-09-14,52.15873210903567,53.03767436924218,55.81674586086811,55.85595488267026,57.66446770015949,58.73648001090957,60.33013170468222,62.87863474764704
2020-09-15,53.0663799764086,53.28345634206136,53.528538515746575,57.17236690503064,57.6811985349354,60.46490609880355,58.3165866674684,62.23231292344455
2020-09-16,53.73575993665167,53.340874628463865,54.186932545767824,56.42720620329524,57.19602533438148,58.471170492684806,60.06512149168268,60.95439807112685
2020-09-17,53.203090351801,53.697335660882175,54.38987304575252,56.77083421000344,57.45879829865917,58.13337079233135,59.89735137781196,61.860226635816936
2020-09-18,49.928325834030666,51.27297226444021,52.20699568663059,56.33063018991693,54.48345465322495,57.79021699853991,61.74275227192921,61.496096552749066
2020-09-21,48.54249072386365,49.3877733009395,50.01193310951472,51.5093920262858,55.05540429306998,55.7212777644133,57.670024046471845,59.39257748876415
2020-09-22,48.02041043129818,49.66634488856502,49.62278780671453,51.93201679243299,53.40164373254513,56.22124143651678,59.874584040183485,59.29188865351471
2020-09-23,43.869723433187445,46.625500463450265,48.009793964598295,49.43080490381142,52.74471770985322,54.65484617149727,56.55690361710433,57.324009946155904
2020-09-24,46.58514825982913,47.1217926930608,47.63853804549618,49.88280332440584,54.14921614218843,55.28294918164712,57.06547872199573,58.005300978375445
2020-09-25,48.441205077485726,49.19513158698818,50.48047339781919,51.67093708655327,54.24565721158056,55.87233658330915,58.69650636316853,59.4421963076577
2020-09-28,50.02055627615082,51.36788005018059,52.14917028173416,54.068777405124855,55.41621070482732,55.85570065335666,59.316115261015895,61.9855963646156
2020-09-29,48.90914855688708,50.923975256276464,50.03801990612492,52.65388513337187,55.94770732714292,56.9546184865068,60.16219027612292,60.260926913230605
2020-09-30,47.39102321417678,48.87776148918358,49.18841371210889,51.88793759029948,55.28380623970784,56.758834295133845,58.49664285079192,57.60859299901056
2020-10-01,48.60197440410361,49.25894171937422,51.61461496184924,53.04190664752766,54.47045563741092,56.73958578238527,58.11127085084067,62.05811191774939
2020-10-02,49.52544193797416,50.28082665113848,50.829863228104784,54.56868744655719,56.0288786901207,56.67208753932119,61.23368273699016,62.29565668832336
2020-10-05,48.65619146426425,50.60591418920425,51.31858362686237,53.02251199334047,54.74596958563632,57.73856134117503,59.59367610587592,60.91704025316628
2020-10-06,49.956272079817744,51.88818733181135,52.13506999693737,55.03622841726422,58.13485393189185,57.85726836453128,58.87514579426863,60.733870435200274
2020-10-07,50.763570869128415,51.59158253476586,52.46119150397184,54.85289221453794,57.57330995709986,57.96749918842039,61.217213990767696,61.54226811972879
2020-10-08,51.941690208805966,53.11491949678935,54.19757682753201,56.69526849730004,58.63726510843813,56.55631822250249,60.85397846210124,62.675201851293416
2020-10-09,53.27519680823983,52.87761296036408,54.54374204616768,57.817490216556415,57.41899964639995,60.14528983507867,60.87710305191412,62.551354278041615
2020-10-12,52.43629402378331,53.50468453286593,56.58108358940186,57.784562288949104,59.79491364865986,60.668570076002894,60.44929518074531,64.13015304797281
2020-10-13,54.94765263840624,54.78443496969325,56.76097998505511,58.74273976233124,61.324405442532274,60.6113045308832,61.60929815575589,63.73050898427408
2020-10-14,54.87351403016645,53.97542292834121,54.65947900270741,58.18155709118845,59.374947911966224,61.00193773027557,63.913363604797325,63.57657433508126
2020-10-15,52.46470423373558,55.69824789488038,54.73695387827279,56.73264451418553,59.98613012167994,59.972932190675856,62.09227504743301,64.17657977743265
2020-10-16,55.79131690721708,55.89494306040287,57.91137369744724,57.400811632693085,61.103393459255,60.87889341023793,64.97368170210655,64.99515385396845
2020-10-19,54.594022903945785,56.28987656798959,57.27112709546071,59.14410517950128,59.302595077507725,60.85915834544208,63.04418946463159,64.35377949631139
2020-10-20,53.367421227976536,52.826491590023245,55.130778968143815,56.988477642046,58.21526348403863,59.53337526698786,61.896744906330056,59.15433012613477
2020-10-21,51.1076671336976,52.11561534568839,53.94955011849063,55.545532634792494,57.78566130751475,60.766906406354416,62.51639978325226,64.0866569329013
2020-10-22,48.304391369029865,50.21746806843353,51.02316980282252,54.06517964749141,56.786664760312085,57.6757724923661,62.233349194084,62.1134043280181
