tenor,side,quantity,price,cost,date,t
1,BUY,0.821615640198175,57.807213333547246,1.64323128039635,2020-07-29,150
2,BUY,0.821615640198175,59.31719771784421,1.64323128039635,2020-07-29,150
3,BUY,0.821615640198175,60.44462731345998,1.64323128039635,2020-07-29,150
4,BUY,0.821615640198175,61.98600402633744,1.64323128039635,2020-07-29,150
5,BUY,0.821615640198175,61.26288413469026,1.64323128039635,2020-07-29,150
6,BUY,0.821615640198175,61.399068235257054,1.64323128039635,2020-07-29,150
7,BUY,0.821615640198175,64.62339665583065,1.64323128039635,2020-07-29,150
1,SELL,0.821615640198175,60.95986837533183,1.64323128039635,2020-07-30,151
2,BUY,0.0783843598018249,59.4987357008598,0.1567687196036498,2020-07-30,151
3,BUY,0.0783843598018249,62.148000328874446,0.1567687196036498,2020-07-30,151
4,BUY,0.0783843598018249,64.01929661335335,0.1567687196036498,2020-07-30,151
5,BUY,0.0783843598018249,62.22949834023716,0.1567687196036498,2020-07-30,151
6,BUY,0.0783843598018249,62.26378738543392,0.1567687196036498,2020-07-30,151
7,BUY,0.0783843598018249,64.20842744852983,0.1567687196036498,2020-07-30,151
0,BUY,0.811485697275699,56.11885942333305,1.622971394551398,2020-08-04,154
2,SELL,0.08851430272430094,58.076434147242765,0.17702860544860188,2020-08-04,154
3,SELL,0.08851430272430094,59.80944226891122,0.17702860544860188,2020-08-04,154
4,SELL,0.08851430272430094,59.778793906187694,0.17702860544860188,2020-08-04,154
5,SELL,0.08851430272430094,62.32346887473189,0.17702860544860188,2020-08-04,154
6,SELL,0.08851430272430094,62.2110313589674,0.17702860544860188,2020-08-04,154
7,SELL,0.08851430272430094,64.00849806405562,0.17702860544860188,2020-08-04,154
0,SELL,0.10695581220363826,55.51912933113511,0.2139116244072765,2020-08-05,155
1,BUY,0.7045298850720607,56.11753999496904,1.4090597701441214,2020-08-05,155
2,SELL,0.10695581220363826,57.76288652695269,0.2139116244072765,2020-08-05,155
3,SELL,0.10695581220363826,58.42430360438407,0.2139116244072765,2020-08-05,155
4,SELL,0.10695581220363826,59.136231580992025,0.2139116244072765,2020-08-05,155
5,SELL,0.10695581220363826,60.12613673295994,0.2139116244072765,2020-08-05,155
6,SELL,0.10695581220363826,62.87742112108168,0.2139116244072765,2020-08-05,155
7,SELL,0.10695581220363826,62.50345936514786,0.2139116244072765,2020-08-05,155
