tenor,side,quantity,price,cost,date,t
4,SELL,0.8999999999999999,73.05690047834659,1.7999999999999998,2025-10-01,1500
5,SELL,0.8999999999999999,72.88732079641515,1.7999999999999998,2025-10-01,1500
6,SELL,0.8999999999999999,76.36494060286878,1.7999999999999998,2025-10-01,1500
7,SELL,0.8999999999999999,76.4478726365191,1.7999999999999998,2025-10-01,1500
3,SELL,0.8999999999999999,74.48791599967842,1.7999999999999998,2025-10-02,1501
3,BUY,0.8999999999999999,71.26829291543976,1.7999999999999998,2025-10-07,1504
4,BUY,0.8999999999999999,71.09213620394549,1.7999999999999998,2025-10-08,1505
4,SELL,0.8999999999999999,75.0442646680745,1.7999999999999998,2025-10-10,1507
0,SELL,0.8999999999999999,76.25665919735451,1.7999999999999998,2025-10-14,1509
2,SELL,0.8999999999999999,75.75376550524774,1.7999999999999998,2025-10-14,1509
