,tenor_1,tenor_2,tenor_3,tenor_4,tenor_5,tenor_6,tenor_7,tenor_8
2020-01-01,81.88707434748372,81.64350468401675,81.3756973078016,80.47273712912624,79.48280657840219,78.45258803387573,76.35705119182737,74.27454392053654
2020-01-02,77.63812041163317,77.40718908319633,77.15327768768738,76.29717027833699,75.35860521286484,74.38184261574439,72.39503892338652,70.42058872382891
2020-01-03,78.48592204729752,78.25246896850228,77.99578488226761,77.13032885321722,76.1815147374916,75.19408597633853,73.1855865575618,71.1895755306703
2020-01-06,78.36623052459471,78.13313346320682,77.87684082181134,77.01270461862586,76.06533745036943,75.07941452426168,73.07397807967841,71.08101098210453
2020-01-07,79.44343140009622,79.20713024994556,78.9473146796578,78.07130029541916,77.11091087591706,76.1114357216101,74.07843309348827,72.05807121262596
2020-01-08,79.89226129341785,79.65462511759993,79.39334167271711,78.51237808832819,77.54656277680323,76.54144090861472,74.49695246805224,72.46517619091478
2020-01-09,82.45559576350823,82.21033505696666,81.94066836131725,81.03143915662669,80.03463576641059,78.99726467295724,76.88717904427479,74.79021344739118
2020-01-10,83.81206924904168,83.562773769088,83.28867079814165,82.3644839026235,81.35128214239263,80.29684530137057,78.15204674409897,76.02058405570922
2020-01-13,85.05882740783284,84.80582349809849,84.52764307006943,83.58970830312226,82.56143451839198,81.49131225465868,79.31460844645841,77.1514388867228
2020-01-14,85.69716697636534,85.44226435239403,85.16199626832959,84.21702259792359,83.18103194400898,82.10287875150642,79.90983947040941,77.7304360080266
2020-01-15,84.75961001548772,84.50749611532005,84.23029426205876,83.29565893390834,82.27100237986251,81.20464456013818,79.03559789532028,76.88003786859363
2020-01-16,85.93655002177093,85.68093536298493,85.39988438924209,84.45227106710627,83.41338651825329,82.33222165566009,80.13305642617615,77.9475651051581
2020-01-17,87.40273122443872,87.14275547124362,86.85690942887643,85.8931286804248,84.83651950803404,83.73690866875087,81.50022302775155,79.27744458859041
2020-01-20,87.96128405411054,87.69964690898226,87.41197414891899,86.4420342970081,85.37867279508683,84.27203482132839,82.02105549549375,79.78407224637378
2020-01-21,85.90662143388927,85.65109579643097,85.37014270256303,84.42285939982621,83.38433665683478,82.30354832480508,80.10514898492016,77.92041879137405
2020-01-22,85.89665284753664,85.64115686121977,85.36023636908999,84.41306298890915,83.37466075587922,82.29399783830114,80.09585360021502,77.91137692230284
2020-01-23,87.24315013710952,86.98364905115643,86.69832491035469,85.73630384581259,84.68162384472174,83.58402068976277,81.35141881962053,79.1326987593595
2020-01-24,86.43525328528737,86.17815525458911,85.89547329801317,84.94236082730576,83.897447468653,82.81000843697532,80.59808110711991,78.39990703756352
2020-01-27,84.6798156670192,84.42793911178977,84.1509982217546,83.21724277751413,82.19355085511442,81.1281969254203,78.96119224339803,76.80766150288315
2020-01-28,84.27087533832386,84.02021515892702,83.74461168676066,82.81536558462587,81.7966173304183,80.73640826532684,78.5798685990816,76.43673780525938
2020-01-29,82.62515304679792,82.37938799923845,82.10916677539863,81.1980678803322,80.19921471686234,79.15971042889696,77.04528573282441,74.94400804788339
2020-01-30,81.95689249999172,81.71311516536242,81.4450794525461,80.54134939642714,79.55057481601082,78.51947789164196,76.42215436333096,74.33787151498571
2020-01-31,79.7326802060887,79.4955186975128,79.23475715419542,78.35555325371601,77.39166711349097,76.38855292962666,74.34814825992127,72.3204303616839
2020-02-03,80.77995249370854,80.53967591769755,80.27548932536278,79.38473726322923,78.40819067762006,77.39190079612005,75.32469583247509,73.27034427842125
2020-02-04,83.47295468246226,83.22466788454436,82.95167396997886,82.03122645521242,81.02212424148908,79.97195378949108,77.83583336699967,75.71299485472476
